#
# TAYLOR DOME st9810 TIMESCALE AND 
# Quaternary Isotope Laboratory 20-CM RESOLUTION DELTA 18-O DATA 
#
#  Data Description:
#
#  The delta 18O values were determined at the Quaternary Isotope Laboratory
#  (M. Stuiver, Box 351360, University of Washington, Seattle WA 98195, USA).
#  The time scale (st9810) is a combined timescale from geophysical
#  measurements, gas-correation with the GISP2 layer-counted 
#  chronology (central Greenland), and interpolation using gas and 
#  10-Be control points.  Details are given in Steig et al., 1999.
#
#  All of the data in this file are from samples bottled at the
#  University of New Hampshire.  Samples are "residue" from the UNH
#  automated melting system, used as a prep. system for ion 
#  chromatography measurements.  All ice was sampled at the National
#  Ice Core Laboratory.
# 
#  Reference:
#
#  Steig EJ, Hart CP, White JWC, Cunningham WL, Davis MD & Saltzman ES.
#  Changes in climate, ocean and ice sheet conditions in the Ross
#  Embayment at 6 ka. Annals of Glaciology 27, 305-310 (1998).   
#
#  Steig EJ, Morse DL, Waddington ED, Stuiver M, Grootes PM. Wisconsinan
#  and Holocene climate history from an ice core at Taylor Dome, western 
#  Ross Embayment, Antarctica. Geografiska Annaler 82A: 213-235 (2000).
#
# Depth	Age (ka)	del18O
# (top, m)	(st9810)	per mil
3.629	0.0107	-42.11
3.899	0.0129	-38.98
4.17	0.0152	-35.87
4.435	0.0173	-39.19
4.7	0.0195	999999
4.965	0.0217	-38.85
5.228	0.0238	-37.4
5.491	0.026	-43.19
5.752	0.0281	-41.86
6.013	0.0302	-41.79
6.272	0.0324	-39.49
6.531	0.0345	-37.57
6.788	0.0366	-37.31
7.045	0.0387	-38.46
7.3	0.0408	-41.85
7.555	0.0429	-38.86
7.808	0.0449	-36.64
8.061	0.047	-39.32
8.563	0.0511	-41.89
8.812	0.0531	-41.21
9.061	0.0552	-40.09
9.309	0.0574	-39
9.557	0.0598	-40.06
9.803	0.0621	-40.86
10.049	0.0644	-40.58
10.293	0.0668	-38.19
10.537	0.0691	-41.25
10.8	0.0716	-40.49
11.023	0.0737	-40.37
11.264	0.076	-41.15
11.505	0.0783	-40.56
11.746	0.0806	-39.98
11.95	0.0825	-38.22
12.225	0.0851	-38.54
12.463	0.0874	-36.33
12.71	0.0897	-40.6
12.937	0.0919	-40.9
13.173	0.0941	-40.72
13.39	0.0962	-40.23
13.642	0.0986	-39.28
13.875	0.1008	-42.24
14.108	0.103	-39.68
14.338	0.1052	-40.67
14.568	0.1074	-39.56
14.84	0.1102	-44.53
15.026	0.1121	-38.51
15.254	0.1146	-39.8
15.48	0.117	-43.51
15.706	0.1194	-41.14
15.932	0.1218	-36.48
16.17	0.1244	-39.29
16.38	0.1266	-41.38
16.604	0.129	-41.63
16.826	0.1314	-39.16
17.048	0.1338	-40.21
17.27	0.1362	-42.67
17.489	0.1385	-40.43
17.708	0.1408	999999
17.927	0.1432	-40.13
18.17	0.1458	-42.89
18.361	0.1478	-40.94
18.578	0.1502	-42.3
18.793	0.1525	-41.96
19.008	0.1548	-40.62
19.222	0.157	-42.59
19.436	0.1593	-41.7
19.65	0.1616	-40.78
19.864	0.1639	-42.21
20.075	0.1662	-40.51
20.286	0.1685	-41.56
20.52	0.1713	-40.3
20.706	0.1735	-40.3
20.915	0.176	-39.47
21.124	0.1785	-42.63
21.332	0.181	-40.74
21.54	0.1834	-39.63
21.74	0.1858	-39.79
21.954	0.1884	-41.54
22.17	0.1909	-43.61
22.366	0.1933	-40.25
22.57	0.1957	-41.1
22.774	0.1981	-41.23
22.978	0.2005	-41.82
23.17	0.2028	-37.44
23.384	0.2054	-36.85
23.595	0.2079	-40.66
23.788	0.2102	-38.78
23.989	0.2126	-39.57
24.17	0.2147	-40.6
24.391	0.2174	999999
24.59	0.2197	-39.75
24.789	0.2221	-40.61
24.988	0.2245	-41.11
25.17	0.2266	-39.34
25.382	0.2291	-40.12
25.579	0.2315	-39.33
25.775	0.2339	-39.93
25.971	0.2364	-41.81
26.17	0.239	-40.6
26.363	0.2414	-40.6
26.557	0.2439	-40.1
26.751	0.2464	-40
26.945	0.2489	-42.81
27.17	0.2518	-41.04
27.334	0.254	-39.82
27.527	0.2564	-39.99
27.718	0.2589	-39.17
27.909	0.2614	-38.58
28.1	0.2638	-41.01
28.291	0.2663	-38.18
28.481	0.2687	-36.83
28.671	0.2712	-38.37
28.86	0.2736	-40.45
29.049	0.2761	-40.12
29.238	0.2785	-38.67
29.427	0.2809	-39.62
29.614	0.2834	-39.12
29.8	0.2858	-38.38
29.986	0.2882	-38.47
30.172	0.2906	-40.75
30.358	0.293	-42.74
30.541	0.2953	-42.79
30.727	0.2977	-41.21
30.911	0.3001	-41.02
31.095	0.3025	-38.94
31.281	0.3049	-39.47
31.465	0.3074	-39.55
31.648	0.3099	-42.55
31.815	0.3123	-42.74
32.014	0.315	999999
32.17	0.3172	-43.07
32.378	0.3201	-40.88
32.559	0.3226	-39.88
32.74	0.3251	-38.85
32.937	0.3278	-38.77
33.101	0.3301	-38.17
33.28	0.3325	-39.37
33.459	0.335	-40.39
33.638	0.3375	-43.53
33.817	0.34	-42.8
33.995	0.3424	-41.43
34.17	0.3449	-40.45
34.351	0.3474	-39.01
34.528	0.3498	-39.6
34.705	0.3523	-42.21
34.882	0.3547	-42.77
35.059	0.3572	-44.24
35.255	0.3599	-42.35
35.411	0.3621	-40.26
35.587	0.3645	-40.47
35.763	0.3669	-40.56
35.938	0.3694	-42.65
36.113	0.3718	-42.73
36.288	0.3742	-40.4
36.463	0.3766	-39.1
36.636	0.379	-39.61
36.809	0.3814	-41.41
36.982	0.384	-42.95
37.17	0.3868	-41.68
37.345	0.3893	-42.63
37.498	0.3916	-42.43
37.67	0.3941	-41.02
37.841	0.3966	-39.05
38.012	0.3992	-38.88
38.17	0.4015	-39.94
38.354	0.4042	-41.72
38.548	0.4071	-39.65
38.694	0.4092	-39.84
38.864	0.4117	-40.6
39.033	0.4142	-40.59
39.202	0.4167	-37.88
39.371	0.4192	-37.91
39.54	0.4217	-40.32
39.708	0.4242	-41.23
39.876	0.4266	-41.63
40.07	0.4295	-40.34
40.211	0.4316	-40.12
40.378	0.4341	-39.24
40.545	0.4365	-39.36
40.712	0.439	-38.85
40.878	0.4414	-39.67
41.044	0.4439	-40.78
41.21	0.4463	-42.73
41.541	0.4512	-39.82
41.706	0.4536	-41.32
41.871	0.4561	-39.67
42.035	0.4585	999999
42.21	0.4611	-39.97
42.363	0.4634	-39.03
42.527	0.4659	-38.73
42.691	0.4684	-38.18
42.855	0.471	-39.51
43.019	0.4735	-39.89
43.182	0.4761	999999
43.344	0.4786	-39.21
43.506	0.4811	-38.32
43.668	0.4836	999999
43.83	0.4861	-42.37
43.991	0.4886	-40.21
44.152	0.4911	-39.2
44.313	0.4936	-39.02
44.473	0.4961	-41.13
44.65	0.4988	-43.85
44.793	0.501	-42.32
44.953	0.5035	-40.39
45.113	0.506	-39.48
45.272	0.5085	-40.04
45.431	0.5109	-39.98
45.59	0.5134	-40.32
45.749	0.5159	-39.21
45.908	0.5183	-39.64
46.067	0.5208	-39.19
46.21	0.523	-39.22
46.384	0.5257	-40.31
46.542	0.5282	-40.06
46.7	0.5306	-39.63
46.858	0.5331	-37.94
47.016	0.5355	-38.05
47.173	0.538	-37.8
47.33	0.5404	-40.23
47.487	0.5428	-41.05
47.644	0.5453	-38.18
47.8	0.5477	-38.21
47.956	0.5502	-40.54
48.135	0.5531	-39.06
48.268	0.5553	-37.91
48.423	0.5578	-38.2
48.578	0.5603	-39.28
48.733	0.5628	999999
48.888	0.5653	-39
49.042	0.5678	-39.99
49.21	0.5706	-40
49.35	0.5728	-40.33
49.503	0.5753	-40.17
49.656	0.5778	-40.89
49.809	0.5803	-44.01
49.962	0.5828	-44.15
50.115	0.5853	999999
50.268	0.5878	-39.88
50.421	0.5903	-42.34
50.574	0.5927	-42.97
50.727	0.5952	-41.87
50.879	0.5977	-41.01
51.031	0.6002	-40.77
51.183	0.6026	-42.59
51.335	0.6051	-42.03
51.486	0.6076	-41.09
51.637	0.61	-40.88
51.788	0.6125	-40.73
51.939	0.6149	-40.29
52.09	0.6174	-40.74
52.241	0.6198	999999
52.42	0.6227	-43.47
52.542	0.6247	-42
52.692	0.6272	-38.11
52.842	0.6296	-38.54
52.992	0.632	-39.53
53.142	0.6345	-41.37
53.291	0.6369	-40.88
53.44	0.6394	-41.66
53.589	0.6419	-37.82
53.737	0.6444	-38.82
53.885	0.6469	-39.37
54.033	0.6494	-41.4
54.181	0.6519	-46.32
54.329	0.6544	-46.71
54.477	0.6569	-40.39
54.625	0.6594	999999
54.773	0.6619	-37.39
54.921	0.6645	-37.86
55.069	0.667	-38.46
55.216	0.6694	-38.46
55.363	0.6719	-38.49
55.51	0.6744	-39.12
55.656	0.6769	-38.94
55.802	0.6794	-38.23
55.948	0.6818	-38.79
56.094	0.6843	-40.2
56.24	0.6868	-42.13
56.386	0.6893	-39.69
56.532	0.6917	-40.66
56.678	0.6942	-41.36
56.824	0.6967	-40.14
56.969	0.6991	-39.17
57.114	0.7016	-40.65
57.259	0.7041	-42.95
57.404	0.7065	-41.61
57.548	0.709	-41.28
57.692	0.7114	-41.88
57.836	0.7138	-39.98
57.98	0.7163	-39.37
58.124	0.7187	-39.72
58.268	0.7211	-40.28
58.412	0.7236	-40.51
58.556	0.726	-39.98
58.7	0.7285	-39.02
58.843	0.7309	-38.39
58.986	0.7334	-36.82
59.129	0.7359	-37.21
59.272	0.7384	-39.91
59.415	0.7409	-40.61
59.59	0.7439	-40.54
59.72	0.7462	-40.1
59.843	0.7484	-39.8
59.985	0.7509	-40.47
60.127	0.7533	-40.93
60.269	0.7558	-39.04
60.411	0.7583	-39.17
60.552	0.7608	-39.11
60.693	0.7633	-40.74
60.834	0.7657	-42.23
60.975	0.7682	-41.16
61.116	0.7707	-41.1
61.257	0.7731	999999
61.398	0.7756	-39.21
61.539	0.7781	-38.32
61.68	0.7805	999999
61.82	0.783	-42.23
61.96	0.7854	-42.72
62.1	0.7879	-42.17
62.24	0.7903	-40.38
62.38	0.7928	-39.79
62.52	0.7952	999999
62.66	0.7977	-39.38
62.8	0.8002	-41.02
62.939	0.8026	-41.8
63.078	0.805	-40.7
63.217	0.8075	-38.87
63.356	0.8099	-39.95
63.495	0.8123	-41.02
63.634	0.8148	-41.28
63.773	0.8172	-41.7
63.912	0.8196	-40.48
64.051	0.8221	-39.68
64.189	0.8245	-40.37
64.35	0.8273	999999
64.465	0.8293	-41.67
64.603	0.8318	-40.44
64.741	0.8344	-40.35
64.878	0.8369	-41.23
65.015	0.8393	-41.39
65.152	0.8418	-39.97
65.292	0.8444	-40.45
65.426	0.8468	-41.6
65.563	0.8493	-41.1
65.7	0.8518	-39.85
65.837	0.8543	-40.04
65.973	0.8568	-41.49
66.109	0.8593	-40.43
66.245	0.8617	-40.93
66.381	0.8642	-40.86
66.517	0.8667	-40.42
66.653	0.8692	-41.06
66.789	0.8717	-40.77
66.925	0.8741	-40.87
67.06	0.8766	-42.15
67.195	0.879	-43.34
67.33	0.8815	-42.43
67.465	0.884	-40.41
67.6	0.8864	-40.1
67.735	0.8889	-41.36
67.87	0.8913	-41.75
68.005	0.8938	-41.01
68.14	0.8963	-40.65
68.274	0.8987	-40.4
68.408	0.9011	-41.57
68.542	0.9036	-42.01
68.676	0.906	-43.12
68.81	0.9085	-42.8
68.944	0.9109	-40.44
69.09	0.9135	-39.65
69.212	0.9158	-40.05
69.346	0.9182	-39.23
69.479	0.9206	-39.17
69.612	0.9231	-39.59
69.745	0.9255	-40.06
69.878	0.9279	-39.8
70.011	0.9303	-39.54
70.144	0.9328	-39.57
70.277	0.9353	-38.38
70.41	0.9378	-40.32
70.543	0.9403	-40.37
70.675	0.9428	-40.54
70.807	0.9452	-40.91
70.939	0.9477	-39.06
71.071	0.9502	-38.55
71.203	0.9527	-39.38
71.335	0.9551	-39.44
71.467	0.9576	-39.9
71.599	0.9601	999999
71.731	0.9625	-43.77
71.863	0.965	-43.74
71.995	0.9675	999999
